塑料包装箱及容器制造,"","",2926
日用塑料制品制造,"","",2927
塑料零件制造,"","",2928
其他塑料制品制造,"","",2929
非金属矿物制品业,30,"",""
水泥、石灰和石膏制造,"",301,""
水泥制造,"","",3011
石灰和石膏制造,"","",3012
石膏、水泥制品及类似制品制造,"",302,""
水泥制品制造,"","",3021
砼结构构件制造,"","",3022
石棉水泥制品制造,"","",3023
轻质建筑材料制造,"","",3024
其他水泥类似制品制造,"","",3029
砖瓦、石材等建筑材料制造,"",303,""
粘土砖瓦及建筑砌块制造,"","",3031
建筑陶瓷制品制造,"","",3032
建筑用石加工,"","",3033
其他稀有金属冶炼,"","",3239
防水建筑材料制造,"","",3034
隔热和隔音材料制造,"","",3035
其他建筑材料制造,"","",3039
玻璃制造,"",304,""
平板玻璃制造,"","",3041
其他玻璃制造,"","",3049
玻璃制品制造,"",305,""
技术玻璃制品制造,"","",3051
光学玻璃制造,"","",3052
玻璃仪器制造,"","",3053
日用玻璃制品制造,"","",3054
玻璃包装容器制造,"","",3055
玻璃保温容器制造,"","",3056
制镜及类似品加工,"","",3057
其他玻璃制品制造,"","",3059
玻璃纤维和玻璃纤维增强塑料制品制造,"",306,""
玻璃纤维及制品制造,"","",3061
玻璃纤维增强塑料制品制造,"","",3062
陶瓷制品制造,"",307,""
卫生陶瓷制品制造,"","",3071
特种陶瓷制品制造,"","",3072
日用陶瓷制品制造,"","",3073
园林、陈设艺术及其他陶瓷制品制造,"","",3079
耐火材料制品制造,"",308,""
石棉制品制造,"","",3081
云母制品制造,"","",3082
耐火陶瓷制品及其他耐火材料制造,"","",3089
石墨及其他非金属矿物制品制造,"",309,""
石墨及碳素制品制造,"","",3091
其他非金属矿物制品制造,"","",3099
黑色金属冶炼和压延加工业,31,"",""
炼铁,"",311,3110
炼钢,"",312,3120
黑色金属铸造,"",313,3130
钢压延加工,"",314,3140
铁合金冶炼,"",315,3150
有色金属冶炼和压延加工业,32,"",""
常用有色金属冶炼,"",321,""
铜冶炼,"","",3211
铅锌冶炼,"","",3212
镍钴冶炼,"","",3213
锡冶炼,"","",3214
锑冶炼,"","",3215
铝冶炼,"","",3216
镁冶炼,"","",3217
其他常用有色金属冶炼,"","",3219
贵金属冶炼,"",322,""
金冶炼,"","",3221
银冶炼,"","",3222
其他贵金属冶炼,"","",3229
稀有稀土金属冶炼,"",323,""
钨钼冶炼,"","",3231
有色金属合金制造,"",324,3240
有色金属铸造,"",325,3250
有色金属压延加工,"",326,""
铜压延加工,"","",3261
铝压延加工,"","",3262
贵金属压延加工,"","",3263
稀有稀土金属压延加工,"","",3264
其他有色金属压延加工,"","",3269
金属制品业,33,"",""
结构性金属制品制造,"",331,""
金属结构制造,"","",3311
金属门窗制造,"","",3312
金属工具制造,"",332,""
切削工具制造,"","",3321
手工具制造,"","",3322
农用及园林用金属工具制造,"","",3323
刀剪及类似日用金属工具制造,"","",3324
其他金属工具制造,"","",3329
集装箱及金属包装容器制造,"",333,""
集装箱制造,"","",3331
金属压力容器制造,"","",3332
金属包装容器制造,"","",3333
金属丝绳及其制品制造,"",334,3340
建筑、安全用金属制品制造,"",335,""
建筑、家具用金属配件制造,"","",3351
建筑装饰及水暖管道零件制造,"","",3352
安全、消防用金属制品制造,"","",3353
其他建筑、安全用金属制品制造,"","",3359
金属表面处理及热处理加工,"",336,3360
搪瓷制品制造,"",337,""
生产专用搪瓷制品制造,"","",3371
建筑装饰搪瓷制品制造,"","",3372
搪瓷卫生洁具制造,"","",3373
搪瓷日用品及其他搪瓷制品制造,"","",3379
金属制日用品制造,"",338,""
金属制厨房用器具制造,"","",3381
金属制餐具和器皿制造,"","",3382
金属制卫生器具制造,"","",3383
其他金属制日用品制造,"","",3389
其他金属制品制造,"",339,""
锻件及粉末冶金制品制造,"","",3391
交通及公共管理用金属标牌制造,"","",3392
其他未列明金属制品制造,"","",3399
通用设备制造业,34,"",""
锅炉及原动设备制造,"",341,""
锅炉及辅助设备制造,"","",3411
内燃机及配件制造,"","",3412
汽轮机及辅机制造,"","",3413
水轮机及辅机制造,"","",3414
风能原动设备制造,"","",3415
其他原动设备制造,"","",3419
金属加工机械制造,"",342,""
金属切削机床制造,"","",3421
金属成形机床制造,"","",3422
铸造机械制造,"","",3423
金属切割及焊接设备制造,"","",3424
机床附件制造,"","",3425
其他金属加工机械制造,"","",3429
物料搬运设备制造,"",343,""
轻小型起重设备制造,"","",3431
起重机制造,"","",3432
生产专用车辆制造,"","",3433
连续搬运设备制造,"","",3434
电梯、自动扶梯及升降机制造,"","",3435
其他物料搬运设备制造,"","",3439
泵、阀门、压缩机及类似机械制造,"",344,""
泵及真空设备制造,"","",3441
气体压缩机械制造,"","",3442
阀门和旋塞制造,"","",3443
液压和气压动力机械及元件制造,"","",3444
轴承、齿轮和传动部件制造,"",345,""
轴承制造,"","",3451
齿轮及齿轮减、变速箱制造,"","",3452
其他传动部件制造,"","",3459
烘炉、风机、衡器、包装等设备制造,"",346,""
烘炉、熔炉及电炉制造,"","",3461
风机、风扇制造,"","",3462
气体、液体分离及纯净设备制造,"","",3463
制冷、空调设备制造,"","",3464
风动和电动工具制造,"","",3465
喷枪及类似器具制造,"","",3466
衡器制造,"","",3467
包装专用设备制造,"","",3468
文化、办公用机械制造,"",347,""
电影机械制造,"","",3471
幻灯及投影设备制造,"","",3472
照相机及器材制造,"","",3473
复印和胶印设备制造,"","",3474
计算器及货币专用设备制造,"","",3475
其他文化、办公用机械制造,"","",3479
通用零部件制造,"",348,""
金属密封件制造,"","",3481
紧固件制造,"","",3482
弹簧制造,"","",3483
机械零部件加工,"","",3484
其他通用零部件制造,"","",3489
其他通用设备制造业,"",349,3490
专用设备制造业,35,"",""
采矿、冶金、建筑专用设备制造,"",351,""
矿山机械制造,"","",3511
石油钻采专用设备制造,"","",3512
建筑工程用机械制造,"","",3513
海洋工程专用设备制造,"","",3514
建筑材料生产专用机械制造,"","",3515
冶金专用设备制造,"","",3516
化工、木材、非金属加工专用设备制造,"",352,""
炼油、化工生产专用设备制造,"","",3521
橡胶加工专用设备制造,"","",3522
塑料加工专用设备制造,"","",3523
木材加工机械制造,"","",3524
模具制造,"","",3525
其他非金属加工专用设备制造,"","",3529
食品、饮料、烟草及饲料生产专用设备制造　　　,"",353,""
食品、酒、饮料及茶生产专用设备制造,"","",3531
农副食品加工专用设备制造,"","",3532
烟草生产专用设备制造,"","",3533
饲料生产专用设备制造,"","",3534
印刷、制药、日化及日用品生产专用设备制造,"",354,""
制浆和造纸专用设备制造,"","",3541
印刷专用设备制造,"","",3542
日用化工专用设备制造,"","",3543
制药专用设备制造,"","",3544
照明器具生产专用设备制造,"","",3545
玻璃、陶瓷和搪瓷制品生产专用设备制造,"","",3546
其他日用品生产专用设备制造,"","",3549
纺织、服装和皮革加工专用设备制造,"",355,""
纺织专用设备制造,"","",3551
皮革、毛皮及其制品加工专用设备制造,"","",3552
缝制机械制造,"","",3553
洗涤机械制造,"","",3554
电子和电工机械专用设备制造,"",356,""
电工机械专用设备制造,"","",3561
电子工业专用设备制造,"","",3562
农、林、牧、渔专用机械制造,"",357,""
拖拉机制造,"","",3571
机械化农业及园艺机具制造,"","",3572
营林及木竹采伐机械制造,"","",3573
畜牧机械制造,"","",3574
渔业机械制造,"","",3575
农林牧渔机械配件制造,"","",3576
棉花加工机械制造,"","",3577
其他农、林、牧、渔业机械制造,"","",3579
医疗仪器设备及器械制造,"",358,""
医疗诊断、监护及治疗设备制造,"","",3581
口腔科用设备及器具制造,"","",3582
医疗实验室及医用消毒设备和器具制造,"","",3583
医疗、外科及兽医用器械制造,"","",3584
机械治疗及病房护理设备制造,"","",3585
假肢、人工器官及植（介）入器械制造,"","",3586
